Name,Category,Quadrant,Ring,Description,Created,Created By,Modified,Modified By
"React","[""Frontend""]","Languages & Frameworks","Adopt","React is an open-source JavaScript library used to build interactive and responsive user interfaces, with a component-based approach. Its declarative programming model and virtual DOM enable it to deliver high performance.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
"VueJS","[""Frontend""]","Languages & Frameworks","Adopt","Vue.js is a progressive and adaptive JavaScript framework for building modern and dynamic user interfaces. Its simplicity, reactivity, and performance make it a popular choice for web applications and single-page applications (SPAs).","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Angular","[""Frontend""]","Languages & Frameworks","Adopt","Angular is an open-source JavaScript framework developed by Google, used for creating dynamic and scalable web applications. It provides a robust component-based structure, bidirectional data binding, and extensive support for building complex applications.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
"Azure","[""Cloud""]","Platforms & Operations","Adopt","Microsoft Azure is a cloud computing platform offering a wide range of services including storage, computing, networking, analytics, and more. It enables businesses to deploy, manage, and scale their applications and services with flexibility and elasticity.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:56 AM","CIURLIK, Yohann"
"AWS","[""Cloud""]","Platforms & Operations","Adopt","Amazon Web Services (AWS) is a leading cloud computing platform, offering a vast array of services for computing, storage, databases, networking, and more. It allows businesses to build scalable and highly available infrastructures.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:56 AM","CIURLIK, Yohann"
"GCP","[""Cloud""]","Platforms & Operations","Adopt","Google Cloud Platform (GCP) is a cloud computing platform provided by Google, offering infrastructure, computing, storage, database, AI, and more services. GCP stands out for its advanced AI and data analytics tools.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:56 AM","CIURLIK, Yohann"
"Directus","[""Experience""]","Tools","Adopt","Directus is an open-source headless content management system (CMS) without pre-designed user interface, allowing developers to create custom and flexible content experiences for their applications.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:51 AM","CIURLIK, Yohann"
"Strapi","[""Experience""]","Tools","Adopt","Strapi is an open-source headless CMS and code-free CMS, enabling developers to create, manage, and distribute content across different platforms and devices via a REST or GraphQL API.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 5:51 AM","CIURLIK, Yohann"
"NextJS","[""Frontend""]","Languages & Frameworks","Adopt","Next.js is a server-side JavaScript framework for server-side rendering (SSR) and client-side rendering (CSR) of React web applications. It offers advanced features such as static pre-rendering, data pre-fetching, dynamic routing, and more.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
"NuxtJS","[""Frontend""]","Languages & Frameworks","Adopt","Nuxt.js is a scalable framework for Vue.js to create universal web applications, single-page applications (SPAs), and static websites. It provides out-of-the-box features such as server-side rendering, automatic routing, static generation, and more.","1/19/2024 8:35 AM","CIURLIK, Yohann","4/19/2024 9:53 AM","CIURLIK, Yohann"
